装备显示类型	模型	贴图
标准男下身000	m2_le_mod001.mesh	m2_le_mod001a.mtl
标准男下身001	m2_le_mod001.mesh	m2_le_mod001a.mtl
标准男下身002	m2_le_mod001.mesh	m2_le_mod001b.mtl
标准男下身003	m2_le_mod001.mesh	m2_le_mod001c.mtl
标准男下身004	m2_le_mod002.mesh	m2_le_mod002a.mtl
标准男下身005	m2_le_mod002.mesh	m2_le_mod002b.mtl
标准男下身006	m2_le_mod002.mesh	m2_le_mod002c.mtl
标准男下身007	m2_le_mod003.mesh	m2_le_mod003a.mtl
标准男下身008	m2_le_mod003.mesh	m2_le_mod003b.mtl
标准男下身009	m2_le_mod004.mesh	m2_le_mod004a.mtl
标准男下身010	m2_le_mod005.mesh	m2_le_mod005a.mtl
标准男下身011	m2_le_mod005.mesh	m2_le_mod005b.mtl
标准男下身012	m2_le_mod006.mesh	m2_le_mod006a.mtl
标准男下身013	m2_le_mod006.mesh	m2_le_mod006b.mtl
标准男下身014	m2_le_mod007.mesh	m2_le_mod007a.mtl
标准男下身015	m2_le_mod008.mesh	m2_le_mod008a.mtl
标准男下身016	m2_le_mod008.mesh	m2_le_mod008b.mtl
标准男下身017	m2_le_mod009.mesh	m2_le_mod009a.mtl
标准男下身018	m2_le_mod009.mesh	m2_le_mod009b.mtl
标准男外装下身002	m2_wz_le_mod002.mesh	m2_wz_le_mod002a.mtl
标准男周年纪念裤	m2_wz_le_mod004.mesh	m2_wz_le_mod004a.mtl
标准男冬装裤	m2_wz_le_mod011.mesh	m2_wz_le_mod011a.mtl
标准男外装裤16	m2_wz_le_mod012.mesh	m2_wz_le_mod012a.mtl
标准男黄金装	m2_wz_le_modjinjia.mesh	m2_wz_le_modjinjia.mtl
标准男捕快装	m2_wz_le_modbukuai.mesh	m2_wz_le_modbukuai.mtl
标准男逍遥装黑	m2_wz_le_modxiaoyao01.Mesh	m2_wz_le_modxiaoyao01.Mtl
标准男逍遥装紫	m2_wz_le_modxiaoyao01.Mesh	m2_wz_le_modxiaoyao02.Mtl
标准男逍遥装蓝	m2_wz_le_modxiaoyao01.Mesh	m2_wz_le_modxiaoyao03.Mtl
