装备显示类型	模型	贴图
娇小女下身000	f1_le_mod002.mesh	f1_le_mod002a.mtl
娇小女下身001	f1_le_mod001.mesh	f1_le_mod001a.mtl
娇小女下身002	f1_le_mod001.mesh	f1_le_mod001b.mtl
娇小女下身003	f1_le_mod002.mesh	f1_le_mod002a.mtl
娇小女下身004	f1_le_mod002.mesh	f1_le_mod002b.mtl
娇小女下身005	f1_le_mod003.mesh	f1_le_mod003a.mtl
娇小女下身006	f1_le_mod003.mesh	f1_le_mod003b.mtl
娇小女下身007	f1_le_mod004.mesh	f1_le_mod004a.mtl
娇小女下身008	f1_le_mod004.mesh	f1_le_mod004b.mtl
娇小女下身009	f1_le_mod005.mesh	f1_le_mod005a.mtl
娇小女下身010	f1_le_mod005.mesh	f1_le_mod005b.mtl
娇小女下身011	f1_le_mod006.mesh	f1_le_mod006a.mtl
娇小女下身012	f1_le_mod006.mesh	f1_le_mod006b.mtl
娇小女下身013	f1_le_mod007.mesh	f1_le_mod007a.mtl
娇小女下身014	f1_le_mod007.mesh	f1_le_mod007b.mtl
娇小女下身015	f1_le_mod008.mesh	f1_le_mod008a.mtl
娇小女下身016	f1_le_mod008.mesh	f1_le_mod008b.mtl
娇小女下身017	f1_le_mod009.mesh	f1_le_mod009a.mtl
娇小女下身018	f1_le_mod009.mesh	f1_le_mod009b.mtl
娇小女外装下身002	f1_wz_le_mod002.mesh	f1_wz_le_mod002a.mtl
娇小女周年纪念裤	f1_wz_le_mod004.mesh	f1_wz_le_mod004a.mtl
娇小女冬装裤	f1_wz_le_mod011.mesh	f1_wz_le_mod011a.mtl
娇小女外装裤16	f1_wz_le_mod012.mesh	f1_wz_le_mod012a.mtl
娇小女黄金装	f1_wz_le_modjinjia.mesh	f1_wz_le_modjinjia.mtl
娇小女捕快装	f1_wz_le_modbukuai.mesh	f1_wz_le_modbukuai.mtl
娇小下装玲珑红	f1_le_modlinglong.mesh	f1_le_modlinglonga.mtl
娇小下装玲珑黄	f1_le_modlinglong.mesh	f1_le_modlinglongb.mtl
娇小下装玲珑粉	f1_le_modlinglong.mesh	f1_le_modlinglongc.mtl
娇小下装玲珑紫	f1_le_modlinglong.mesh	f1_le_modlinglongd.mtl
娇小下装玲珑蓝	f1_le_modlinglong.mesh	f1_le_modlinglonge.mtl
娇小下装玲珑绿	f1_le_modlinglong.mesh	f1_le_modlinglongf.mtl
娇小女逍遥装黑	f1_wz_le_modxiaoyao01.Mesh	f1_wz_le_modxiaoyao01.Mtl
